Input.extroversion_video1,Input.extroversion_video2,Input.neuroticism_video1,Input.neuroticism_video2,Input.agreeableness_video1,Input.agreeableness_video2,Input.conscientiousness_video1,Input.conscientiousness_video2,Input.openness_video1,Input.openness_video2,WorkerId,Answer.hO.left,Answer.hO.right,Answer.hC.left,Answer.hC.right,Answer.hE.left,Answer.hE.right,Answer.hA.left,Answer.hO.right,Answer.hO.left,Answer.hA.right,Answer.hN.left,Answer.hN.right,Answer.hTLeft.left,Answer.hTRight.right
https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_77.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6a10f8759a_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7770f52caa_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b060020015_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_2.mp4,A36H3PO6JZD414,True,False,False,True,True,False,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_77.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6a10f8759a_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7770f52caa_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b060020015_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_2.mp4,A3TUMZ954ORSUC,False,True,True,False,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_77.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6a10f8759a_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7770f52caa_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b060020015_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_2.mp4,ASWZO1WY1UHEP,False,True,True,False,False,True,False,True,False,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_77.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6a10f8759a_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7770f52caa_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b060020015_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_2.mp4,A2J237J8KM3OCS,True,False,False,True,True,False,True,False,True,False,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/068371806d_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/97ab48dd55_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1d9e03f6e0_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50f1e03687_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_42.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_14.mp4,A26V8QMPU25JGC,True,False,False,True,False,True,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/068371806d_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/97ab48dd55_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1d9e03f6e0_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50f1e03687_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_42.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_14.mp4,A1E6RS45GUAFC3,True,False,False,True,True,False,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/068371806d_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/97ab48dd55_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1d9e03f6e0_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50f1e03687_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_42.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_14.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/068371806d_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/97ab48dd55_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1d9e03f6e0_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50f1e03687_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_42.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_14.mp4,ASWZO1WY1UHEP,False,True,True,False,False,True,False,True,False,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/068371806d_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/97ab48dd55_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1d9e03f6e0_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_51.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50f1e03687_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_42.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_14.mp4,A2J237J8KM3OCS,True,False,False,True,True,False,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_12.mp4,https://www.cs.umb.edu/~srikark/selected_videos/154ece9b23_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d36034bdbf_6.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b15da5f794_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2598d31ae3_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/eb87c332e2_28.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f5853adc98_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_52.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,False,True,False,True,False,True,True,True
