workerId,video.left,video.right,o.true,c.true,e.true,a.true,n.true,o.answer,c.answer,e.answer,a.answer,n.answer
AXQWKUJF7SQXP,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,right,right,left
AISFU4P55HYEH,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,left,right,right
A32CMQGGTSUK6Z,dfbe16e76b_56.mp4,e918b859ee_15.mp4,left,left,left,right,right,left,right,left,right,right
A2KJ983WWTEK4L,dfbe16e76b_56.mp4,e918b859ee_15.mp4,left,left,left,right,right,left,left,left,right,left
A3L3ZFL1NYFTCF,dfbe16e76b_56.mp4,e918b859ee_15.mp4,left,left,left,right,right,right,right,left,right,right
A3UUH3632AI3ZX,dfbe16e76b_56.mp4,e918b859ee_15.mp4,left,left,left,right,right,right,left,left,right,left
A32CMQGGTSUK6Z,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,right,right,left,right,right,right,right,left,left,right
AXQWKUJF7SQXP,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,right,right,left,right,right,right,right,right,right,left
A2KJ983WWTEK4L,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,right,right,left,right,right,left,left,left,right,left
A1CF6U3GF7DZEJ,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,right,right,left,right,right,right,left,left,left,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,right,right,right,left,left,right,right,right,left
AXQWKUJF7SQXP,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,right,right,right,left,right,right,right,right,right
A314XJY8V1YL12,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,left,right,right
A3UUH3632AI3ZX,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,left,left,right
A2KJ983WWTEK4L,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,left,right,right
A1GD3MQELM1R9M,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,left,right,right
A3JN18TC8GL3IH,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,left,right,right
A1CF6U3GF7DZEJ,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,right,right,left,left,right,right,left,right
A37WXDYYT7RCZ0,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,right,right,left,equal,right,right,equal,left
A2KJ983WWTEK4L,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,right,right,left,left,right,right,left,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,right,right,left,left,right,right,left,left
A2D7SD76AM3Y9C,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,right,right,left,right,right,left,right,left
A3TDUHEBFJ53NM,4f2dda223f_22.mp4,0014697d89_6.mp4,left,right,right,left,left,right,right,right,left,left
A1CF6U3GF7DZEJ,4f2dda223f_22.mp4,0014697d89_6.mp4,left,right,right,left,left,left,right,right,right,right
A37WXDYYT7RCZ0,4f2dda223f_22.mp4,0014697d89_6.mp4,left,right,right,left,left,equal,right,right,equal,equal
A3L3ZFL1NYFTCF,4f2dda223f_22.mp4,0014697d89_6.mp4,left,right,right,left,left,right,right,right,right,right
A314XJY8V1YL12,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,right,left,left,right,left,right,right,left,left,left
A1CF6U3GF7DZEJ,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,right,left,left,right,left,right,right,left,right,left
A2KJ983WWTEK4L,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,right,left,left,right,left,right,left,right,left,left
A37WXDYYT7RCZ0,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,right,left,left,right,left,equal,right,equal,left,left
A314XJY8V1YL12,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,left,left,left,right,right,left,right
A2KJ983WWTEK4L,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,left,left,right,right,left,left,right
AISFU4P55HYEH,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,left,left,left,right,left,left,right
A1CF6U3GF7DZEJ,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,left,right,left,left,left,left,left,left,right,left
A3UUH3632AI3ZX,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,left,right,left,left,left,left,left,left,left,right
A2KJ983WWTEK4L,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,left,right,left,left,left,left,right,right,left,right
AXQWKUJF7SQXP,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,left,right,left,left,left,right,left,right,right,right
A314XJY8V1YL12,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,left,right,right,right,left,left,right,left,right
A1CF6U3GF7DZEJ,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,left,right,right,right,left,left,right,right,left
AXQWKUJF7SQXP,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,left,right,right,right,right,right,left,left,left
A32CMQGGTSUK6Z,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,left,right,right,right,right,left,left,right,right
A3L3ZFL1NYFTCF,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,left,left,right,left,right,left,right,left
AXQWKUJF7SQXP,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,left,left,right,right,left,right,left,right
A2KJ983WWTEK4L,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,left,left,right,right,right,left,left,left
A1CF6U3GF7DZEJ,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,left,left,right,left,right,equal,left,right
AISFU4P55HYEH,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,left,left,right,right,right,left,right,left
AMX5R6NLYNA2K,ff190e3a3b_4.mp4,049dbc8289_77.mp4,left,left,right,left,left,right,right,right,right,left
A1CF6U3GF7DZEJ,ff190e3a3b_4.mp4,049dbc8289_77.mp4,left,left,right,left,left,equal,equal,right,right,left
A37WXDYYT7RCZ0,ff190e3a3b_4.mp4,049dbc8289_77.mp4,left,left,right,left,left,right,equal,right,equal,equal
AISFU4P55HYEH,ff190e3a3b_4.mp4,049dbc8289_77.mp4,left,left,right,left,left,left,left,right,right,left
A1CF6U3GF7DZEJ,eb87c332e2_7.mp4,82ab936b7a_3.mp4,right,right,left,right,right,left,left,left,equal,right
A32CMQGGTSUK6Z,eb87c332e2_7.mp4,82ab936b7a_3.mp4,right,right,left,right,right,right,left,right,left,left
AXQWKUJF7SQXP,eb87c332e2_7.mp4,82ab936b7a_3.mp4,right,right,left,right,right,equal,right,equal,left,left
A38DAH5RS19EX4,eb87c332e2_7.mp4,82ab936b7a_3.mp4,right,right,left,right,right,right,left,left,right,right
AISFU4P55HYEH,eb87c332e2_7.mp4,82ab936b7a_3.mp4,right,right,left,right,right,left,left,left,left,right
A37WXDYYT7RCZ0,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,left,left,left,left,equal,equal,left,equal,left
A2KJ983WWTEK4L,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,left,left,left,left,right,right,right,right,right
AISFU4P55HYEH,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,left,left,left,left,right,right,left,left,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,left,left,left,left,right,right,left,left,left
A1CF6U3GF7DZEJ,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,right,right,right,left,right,right,right,left
A3L3ZFL1NYFTCF,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,right,right,right,left,left,right,left,right
A2KJ983WWTEK4L,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,right,right,right,right,left,left,left,left
A37WXDYYT7RCZ0,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,right,right,right,equal,equal,equal,equal,equal
A1CF6U3GF7DZEJ,84125c414e_14.mp4,82ab936b7a_17.mp4,left,right,left,right,left,left,right,left,left,left
A3UUH3632AI3ZX,84125c414e_14.mp4,82ab936b7a_17.mp4,left,right,left,right,left,left,right,left,left,right
A38DAH5RS19EX4,84125c414e_14.mp4,82ab936b7a_17.mp4,left,right,left,right,left,left,equal,left,left,right
A2KJ983WWTEK4L,84125c414e_14.mp4,82ab936b7a_17.mp4,left,right,left,right,left,left,left,right,left,right
AISFU4P55HYEH,84125c414e_14.mp4,82ab936b7a_17.mp4,left,right,left,right,left,left,right,left,left,right
A37WXDYYT7RCZ0,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,right,left,left,equal,equal,right,left
AISFU4P55HYEH,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,right,left,left,left,left,right,left
A3L3ZFL1NYFTCF,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,right,left,left,left,left,left,left
AMX5R6NLYNA2K,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,right,left,left,left,right,left,left,left,left
A314XJY8V1YL12,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,right,left,left,left,left,left,left,right,left
