workerId,video.left,video.right,o.true,c.true,e.true,a.true,n.true,o.answer,c.answer,e.answer,a.answer,n.answer
A32UE0WDFAUWBE,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,right,left,left,right,right
AHXCMJUY4KI4C,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,right,left,right,right,left
A3OZ8KF0HWSVWK,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,left,left,right,left
A31Z5TPD8QKE26,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,left,left,left,right
ASWZO1WY1UHEP,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,left,left,left,right
A3O81LHBBI8NPK,faf57b8b8a_4.mp4,9d22732682_30.mp4,right,left,left,right,right,left,left,right,left,right
A29VL3MZE7YPBZ,faf57b8b8a_4.mp4,9d22732682_30.mp4,right,left,left,right,right,left,right,left,left,right
A2KJ983WWTEK4L,faf57b8b8a_4.mp4,9d22732682_30.mp4,right,left,left,right,right,right,left,right,left,left
A2UF2FRGVW4T89,faf57b8b8a_4.mp4,9d22732682_30.mp4,right,left,left,right,right,left,left,right,right,right
ASWZO1WY1UHEP,faf57b8b8a_4.mp4,9d22732682_30.mp4,right,left,left,right,right,right,left,right,right,right
A22KRF782ELLB0,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,right,left,left,left,right,right,left,left
ASWZO1WY1UHEP,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,right,left,left,left,right,right,right,left
A2UF2FRGVW4T89,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,right,left,left,left,right,right,left,left
A31Z5TPD8QKE26,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,right,left,left,left,right,right,right,left
A3O81LHBBI8NPK,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,right,left,left,left,right,right,left,left
A22KRF782ELLB0,82ab936b7a_3.mp4,252dd328ef_4.mp4,left,left,left,left,right,right,left,left,right,right
A2KJ983WWTEK4L,82ab936b7a_3.mp4,252dd328ef_4.mp4,left,left,left,left,right,right,left,left,left,right
A31Z5TPD8QKE26,82ab936b7a_3.mp4,252dd328ef_4.mp4,left,left,left,left,right,right,left,left,right,right
A3O81LHBBI8NPK,82ab936b7a_3.mp4,252dd328ef_4.mp4,left,left,left,left,right,right,left,right,left,right
A3UUH3632AI3ZX,82ab936b7a_3.mp4,252dd328ef_4.mp4,left,left,left,left,right,right,left,left,left,left
A22KRF782ELLB0,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,right,right,left,right,left,left,right,left
A3169N2SCN3ENK,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,right,right,left,right,left,left,right,left
A31Z5TPD8QKE26,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,right,right,left,right,left,left,right,right
A3OZ8KF0HWSVWK,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,right,right,left,right,left,left,right,right
A1S88VQY8G8CNC,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,right,right,left,left,right,left,left,right
A22KRF782ELLB0,dfbe16e76b_56.mp4,82ab936b7a_3.mp4,right,right,right,right,left,right,left,right,left,right
ASWZO1WY1UHEP,dfbe16e76b_56.mp4,82ab936b7a_3.mp4,right,right,right,right,left,left,left,right,right,right
A2UF2FRGVW4T89,dfbe16e76b_56.mp4,82ab936b7a_3.mp4,right,right,right,right,left,left,left,right,left,left
A314XJY8V1YL12,dfbe16e76b_56.mp4,82ab936b7a_3.mp4,right,right,right,right,left,left,left,right,left,left
A31Z5TPD8QKE26,dfbe16e76b_56.mp4,82ab936b7a_3.mp4,right,right,right,right,left,right,left,right,left,left
A3O81LHBBI8NPK,720fccf6b1_7.mp4,dfbe16e76b_56.mp4,left,left,right,right,right,left,right,left,left,left
ASWZO1WY1UHEP,720fccf6b1_7.mp4,dfbe16e76b_56.mp4,left,left,right,right,right,right,right,left,right,left
A2UF2FRGVW4T89,720fccf6b1_7.mp4,dfbe16e76b_56.mp4,left,left,right,right,right,left,right,left,right,left
A31Z5TPD8QKE26,720fccf6b1_7.mp4,dfbe16e76b_56.mp4,left,left,right,right,right,left,right,left,right,right
A2KJ983WWTEK4L,720fccf6b1_7.mp4,dfbe16e76b_56.mp4,left,left,right,right,right,left,right,left,left,left
A314XJY8V1YL12,446caa6f5f_46.mp4,c8c00639ec_18.mp4,left,left,right,right,right,left,left,right,left,left
ASWZO1WY1UHEP,446caa6f5f_46.mp4,c8c00639ec_18.mp4,left,left,right,right,right,right,left,right,right,left
A3O81LHBBI8NPK,446caa6f5f_46.mp4,c8c00639ec_18.mp4,left,left,right,right,right,right,left,right,left,right
A1S88VQY8G8CNC,446caa6f5f_46.mp4,c8c00639ec_18.mp4,left,left,right,right,right,right,left,right,left,left
A3OZ8KF0HWSVWK,446caa6f5f_46.mp4,c8c00639ec_18.mp4,left,left,right,right,right,right,left,right,left,right
A2UF2FRGVW4T89,dfbe16e76b_56.mp4,f5853adc98_16.mp4,left,left,left,left,left,left,left,left,left,right
ASWZO1WY1UHEP,dfbe16e76b_56.mp4,f5853adc98_16.mp4,left,left,left,left,left,right,right,left,left,left
A31Z5TPD8QKE26,dfbe16e76b_56.mp4,f5853adc98_16.mp4,left,left,left,left,left,left,left,left,left,left
A22KRF782ELLB0,dfbe16e76b_56.mp4,f5853adc98_16.mp4,left,left,left,left,left,right,left,left,left,left
A3OZ8KF0HWSVWK,dfbe16e76b_56.mp4,f5853adc98_16.mp4,left,left,left,left,left,left,left,left,left,left
A34M93NJC830DP,dfbe16e76b_56.mp4,2cb5b3df8d_4.mp4,right,left,left,right,left,left,left,right,left,left
A1S88VQY8G8CNC,dfbe16e76b_56.mp4,2cb5b3df8d_4.mp4,right,left,left,right,left,right,left,right,left,left
ASWZO1WY1UHEP,dfbe16e76b_56.mp4,2cb5b3df8d_4.mp4,right,left,left,right,left,left,left,right,right,left
A3UUH3632AI3ZX,dfbe16e76b_56.mp4,2cb5b3df8d_4.mp4,right,left,left,right,left,left,left,right,left,right
A31Z5TPD8QKE26,dfbe16e76b_56.mp4,2cb5b3df8d_4.mp4,right,left,left,right,left,left,left,left,right,left
A22KRF782ELLB0,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,left,right,right
A314XJY8V1YL12,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,left,right,right
A31Z5TPD8QKE26,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,right,right,right
A3UUH3632AI3ZX,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,left,right,left,left,right
A2XI3DX3IJ1TAV,400f09a2d4_10.mp4,82ab936b7a_3.mp4,right,right,right,right,right,right,right,left,right,right
A3CAF7LTD3ORSG,dfbe16e76b_56.mp4,e918b859ee_15.mp4,right,left,right,right,left,right,left,left,left,left
A32UE0WDFAUWBE,dfbe16e76b_56.mp4,e918b859ee_15.mp4,right,left,right,right,left,right,left,left,right,right
A22KRF782ELLB0,dfbe16e76b_56.mp4,e918b859ee_15.mp4,right,left,right,right,left,right,left,right,right,left
A2KJ983WWTEK4L,dfbe16e76b_56.mp4,e918b859ee_15.mp4,right,left,right,right,left,right,left,right,right,left
A3O81LHBBI8NPK,dfbe16e76b_56.mp4,e918b859ee_15.mp4,right,left,right,right,left,left,left,right,right,left
A3O81LHBBI8NPK,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,left,left,left,left,left,right,left,left,left,right
ASWZO1WY1UHEP,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,left,left,left,left,left,right,left,left,left,left
A2KJ983WWTEK4L,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,left,left,left,left,left,left,left,left,left,left
A1S88VQY8G8CNC,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,left,left,left,left,left,right,left,left,left,left
A3OZ8KF0HWSVWK,4fdf48c5b7_30.mp4,82ab936b7a_3.mp4,left,left,left,left,left,right,left,left,left,left
A2KJ983WWTEK4L,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,left,right,left,right,right,right,left,right,left
A299J4PKHAEU9H,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,left,right,left,right,left,right,right,left,right
A2UF2FRGVW4T89,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,left,right,left,right,right,right,right,right,right
A22KRF782ELLB0,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,left,right,left,right,left,left,right,right,left
A31Z5TPD8QKE26,82ab936b7a_3.mp4,b0390cf0b5_6.mp4,left,left,right,left,right,left,right,right,right,left
ASWZO1WY1UHEP,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,right,left,left,right,right,right,right,left,right,right
A22KRF782ELLB0,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,right,left,left,right,right,left,right,left,right,right
A3OZ8KF0HWSVWK,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,right,left,left,right,right,left,right,left,right,left
A31Z5TPD8QKE26,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,right,left,left,right,right,right,right,left,right,right
A3UUH3632AI3ZX,4c08eeaf99_71.mp4,82ab936b7a_3.mp4,right,left,left,right,right,left,left,left,right,right
A32UE0WDFAUWBE,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,left,left,right,left,right,right,left,left
A2UF2FRGVW4T89,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,left,left,right,left,right,right,left,right
A2KJ983WWTEK4L,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,left,left,right,left,right,right,left,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,left,left,right,left,right,right,right,left
A31Z5TPD8QKE26,82ab936b7a_3.mp4,cbb1666eaf_10.mp4,right,right,left,left,right,left,right,right,left,left
A314XJY8V1YL12,4f2dda223f_22.mp4,0014697d89_6.mp4,right,right,right,right,right,right,right,right,right,right
A31Z5TPD8QKE26,4f2dda223f_22.mp4,0014697d89_6.mp4,right,right,right,right,right,left,right,right,left,right
ASWZO1WY1UHEP,4f2dda223f_22.mp4,0014697d89_6.mp4,right,right,right,right,right,right,right,right,right,right
A3OZ8KF0HWSVWK,4f2dda223f_22.mp4,0014697d89_6.mp4,right,right,right,right,right,left,right,right,right,right
A2XI3DX3IJ1TAV,4f2dda223f_22.mp4,0014697d89_6.mp4,right,right,right,right,right,left,right,right,left,right
AETIZKQNUSBLB,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,left,left,right,left,left,right,right,left,left,left
A32UE0WDFAUWBE,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,left,left,right,left,left,right,right,left,left,left
A3UV55HC87DO9C,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,left,left,right,left,left,right,right,left,right,right
A31Z5TPD8QKE26,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,left,left,right,left,left,right,right,left,left,left
ASWZO1WY1UHEP,7d3e7dcfc7_10.mp4,63d4150e21_16.mp4,left,left,right,left,left,right,left,left,left,left
ASWZO1WY1UHEP,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,right,right,right,right,right,left,right
A31Z5TPD8QKE26,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,right,right,right,right,left,left,right
A22KRF782ELLB0,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,right,right,right,right,left,right,left
A3OZ8KF0HWSVWK,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,right,right,right,right,right,left,right
A3O81LHBBI8NPK,b8a4c17fbe_29.mp4,81ef830580_9.mp4,left,right,right,right,right,right,right,right,left,right
A31Z5TPD8QKE26,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,right,right,right,right,left,left,left,left,left,right
A3O81LHBBI8NPK,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,right,right,right,right,left,left,left,left,left,left
A3UUH3632AI3ZX,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,right,right,right,right,left,left,left,left,left,right
A3OZ8KF0HWSVWK,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,right,right,right,right,left,left,left,left,left,right
A22KRF782ELLB0,4274b5c7b4_123.mp4,ef2f7d7dbf_75.mp4,right,right,right,right,left,right,left,left,right,right
A2KJ983WWTEK4L,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,right,right,left,right
A314XJY8V1YL12,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,left,right,left,right
ASWZO1WY1UHEP,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,right,right,right,right
A31Z5TPD8QKE26,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,left,right,right,right
A3CAF7LTD3ORSG,c651eb1676_24.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,right,right,right,right
A22KRF782ELLB0,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,right,right,left,left,right,left,left,right
A32UE0WDFAUWBE,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,right,right,left,left,right,left,left,left
A2UF2FRGVW4T89,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,right,right,left,left,right,left,left,right
A31Z5TPD8QKE26,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,right,right,left,left,right,left,right,left
A3OZ8KF0HWSVWK,dfbe16e76b_56.mp4,f5853adc98_27.mp4,right,left,right,right,left,left,right,left,right,left
A2KJ983WWTEK4L,ff190e3a3b_4.mp4,049dbc8289_77.mp4,right,left,left,right,right,right,left,right,left,right
A3O81LHBBI8NPK,ff190e3a3b_4.mp4,049dbc8289_77.mp4,right,left,left,right,right,left,left,right,right,left
ASWZO1WY1UHEP,ff190e3a3b_4.mp4,049dbc8289_77.mp4,right,left,left,right,right,right,right,right,right,right
A3OZ8KF0HWSVWK,ff190e3a3b_4.mp4,049dbc8289_77.mp4,right,left,left,right,right,left,right,right,right,right
A31Z5TPD8QKE26,ff190e3a3b_4.mp4,049dbc8289_77.mp4,right,left,left,right,right,right,left,right,right,right
A32UE0WDFAUWBE,eb87c332e2_7.mp4,82ab936b7a_3.mp4,left,right,left,right,left,right,left,left,right,right
A3CAF7LTD3ORSG,eb87c332e2_7.mp4,82ab936b7a_3.mp4,left,right,left,right,left,right,right,left,right,left
A3OZ8KF0HWSVWK,eb87c332e2_7.mp4,82ab936b7a_3.mp4,left,right,left,right,left,right,left,left,left,left
A1S88VQY8G8CNC,eb87c332e2_7.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,left,left,left,left
ASWZO1WY1UHEP,eb87c332e2_7.mp4,82ab936b7a_3.mp4,left,right,left,right,left,left,right,left,right,left
A3O81LHBBI8NPK,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,right,right,right,left,right,right,left,left,left
A2KJ983WWTEK4L,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,right,right,right,left,right,right,right,left,left
ASWZO1WY1UHEP,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,right,right,right,left,right,right,left,left,left
A31Z5TPD8QKE26,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,right,right,right,left,right,right,left,left,left
A22KRF782ELLB0,82ab936b7a_3.mp4,0a6455dbb0_48.mp4,right,right,right,right,left,right,right,left,left,left
ASWZO1WY1UHEP,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,left,right,right,right,right,right,right,left
A3OZ8KF0HWSVWK,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,right,right,left,left
A31Z5TPD8QKE26,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,right,right,left
A22KRF782ELLB0,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,right,right,right,left
AISFU4P55HYEH,720fccf6b1_76.mp4,82ab936b7a_3.mp4,left,left,left,right,right,left,left,right,left,left
AURYD2FH3FUOQ,84125c414e_14.mp4,82ab936b7a_17.mp4,left,left,left,right,left,left,right,left,left,right
A34M93NJC830DP,84125c414e_14.mp4,82ab936b7a_17.mp4,left,left,left,right,left,left,right,right,left,right
A3O81LHBBI8NPK,84125c414e_14.mp4,82ab936b7a_17.mp4,left,left,left,right,left,left,right,right,left,right
A22KRF782ELLB0,84125c414e_14.mp4,82ab936b7a_17.mp4,left,left,left,right,left,left,right,left,left,right
A31Z5TPD8QKE26,84125c414e_14.mp4,82ab936b7a_17.mp4,left,left,left,right,left,left,right,left,left,right
A3OZ8KF0HWSVWK,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,right,left,right,left,right,left,left,left,right,right
A22KRF782ELLB0,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,right,left,right,left,right,left,left,left,right,left
A31Z5TPD8QKE26,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,right,left,right,left,right,left,left,left,right,right
ASWZO1WY1UHEP,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,right,left,right,left,right,left,left,left,left,right
A1S88VQY8G8CNC,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,right,left,right,left,right,left,left,left,right,right
A314XJY8V1YL12,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,left,right,right,right,left,left,left,right,left
A31Z5TPD8QKE26,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,left,right,right,right,left,right,left,left,left
A3O81LHBBI8NPK,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,left,right,right,right,left,right,left,right,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,left,right,right,right,right,right,left,left,left
ASWZO1WY1UHEP,82ab936b7a_3.mp4,40648dbe74_2.mp4,left,left,right,right,right,left,left,left,right,left
A3O81LHBBI8NPK,82ab936b7a_3.mp4,068371806d_16.mp4,left,right,left,right,left,left,right,left,right,left
